artist,style,url,status
Conrad Marca-Relli,Pop Art,https://uploads0.wikiart.org/images/conrad-marca-relli/the-dressmaker-1982.jpg!Large.jpg,downloaded
Ivan Shishkin,Realism,https://uploads5.wikiart.org/images/ivan-shishkin/the-old-house-on-the-shore-of-the-pond.jpg!Large.jpg,downloaded
Martin Schongauer,Northern Renaissance,https://uploads6.wikiart.org/images/martin-schongauer/adoration-of-the-shepherds.jpg!Large.jpg,downloaded
Lucas Cranach the Elder,Northern Renaissance,https://uploads8.wikiart.org/images/lucas-cranach-the-elder/portrait-of-a-man-1514.jpg!Large.jpg,downloaded
Norval Morrisseau,Naïve Art,https://uploads0.wikiart.org/images/norval-morrisseau/bird-family-with-fish.jpg,downloaded
Aurelie Nemours,Concretism,https://uploads7.wikiart.org/images/aurelie-nemours/mediete-1981.jpg,downloaded
Rogier van der Weyden,Northern Renaissance,https://uploads7.wikiart.org/images/rogier-van-der-weyden/saint-george-and-the-dragon-1435.jpg!Large.jpg,downloaded
Carlo Carrà,Expressionism,https://uploads2.wikiart.org/images/carlo-carra/lagoon-1932.jpg,downloaded
Charles Demuth,Precisionism,https://uploads0.wikiart.org/images/charles-demuth/machinery-1920.jpg!Large.jpg,downloaded
Albrecht Dürer,Northern Renaissance,https://uploads3.wikiart.org/images/albrecht-durer/peasans-at-the-market-1512.jpg!Large.jpg,downloaded
Ivan Aivazovsky,Romanticism,https://uploads1.wikiart.org/images/ivan-aivazovsky/tempest-on-the-sea-at-nidht-1849.jpg!Large.jpg,downloaded
Robert Goodnough,Post-Painterly Abstraction,https://uploads0.wikiart.org/images/robert-goodnough/red-boat-1964.jpg,downloaded
Currier and Ives,Romanticism,https://uploads5.wikiart.org/images/currier-and-ives/republican-presidential-ticket-1864.jpg!Large.jpg,downloaded
Pyotr Konchalovsky,Post-Impressionism,https://uploads6.wikiart.org/images/pyotr-konchalovsky/painting-for-children-1930.jpg,downloaded
Maurice Prendergast,Post-Impressionism,https://uploads1.wikiart.org/images/maurice-prendergast/notre-dame.jpg!Large.jpg,downloaded
Tintoretto,Mannerism,https://uploads8.wikiart.org/images/tintoretto/aretino-in-the-studio-of-tintoretto.jpg!Large.jpg,downloaded
Jacek Yerka,Surrealism,https://uploads2.wikiart.org/images/jacek-yerka/breath-of-the-dragon.jpg,downloaded
Louay Kayyali,Expressionism,https://uploads8.wikiart.org/images/louay-kayyali/the-bead-seller.jpg,downloaded
John Frederick Kensett,Luminism,https://uploads6.wikiart.org/images/john-frederick-kensett/upper-mississippi-1855.jpg,downloaded
T. C. Steele,Impressionism,https://uploads1.wikiart.org/images/t-c-steele/brook-in-woods-1887.jpg!Large.jpg,downloaded
Adam Baltatu,Impressionism,https://uploads8.wikiart.org/images/adam-baltatu/spring-landscape.jpg,downloaded
Norman Rockwell,Regionalism,https://uploads2.wikiart.org/images/norman-rockwell/william-gillis-in-convoy.jpg!Large.jpg,downloaded
Eastman Johnson,Realism,https://uploads4.wikiart.org/images/eastman-johnson/corn-husking-1860.jpg!Large.jpg,downloaded
Gwen John,Post-Impressionism,https://uploads3.wikiart.org/images/gwen-john/young-woman-wearing-a-large-hat.jpg!Large.jpg,downloaded
Raphael,Expressionism,https://uploads0.wikiart.org/images/raphael/gregory-ix-approving-the-decretals-1511.jpg!Large.jpg,downloaded
Frans Hals,Baroque,https://uploads3.wikiart.org/images/frans-hals/portrait-of-a-young-woman-1655.jpg!Large.jpg,downloaded
Lawrence Alma-Tadema,Romanticism,https://uploads8.wikiart.org/images/alma-tadema-lawrence/portrait-of-the-singer-george-henschel-1879.jpg!Large.jpg,downloaded
Ferdinand Hodler,Symbolism,https://uploads6.wikiart.org/images/ferdinand-hodler/the-gantrisch-1898.jpg!Large.jpg,downloaded
Aleksey Savrasov,Realism,https://uploads3.wikiart.org/images/aleksey-savrasov/the-death-of-the-ship-at-sea-1862.jpg!Large.jpg,downloaded
Aurel Cojan,Tachisme,https://uploads8.wikiart.org/images/aurel-cojan/abstraction-2003.jpg!Large.jpg,downloaded
Chu Teh-Chun,Tachisme,https://uploads5.wikiart.org/images/chu-teh-chun/untitled-1963.jpg,downloaded
David Burliuk,Futurism,https://uploads6.wikiart.org/images/david-burliuk/cover-of-the-book-the-sun-visits-mayakovsky-by-vladimir-mayakovsky.jpg!Large.jpg,downloaded
Alexander Ivanov,Academic Art,https://uploads7.wikiart.org/images/alexander-ivanov/people-gather-manna.jpg!Large.jpg,downloaded
Utagawa Kuniyoshi,Ukiyo-e,https://uploads6.wikiart.org/images/utagawa-kuniyoshi/shakuhachi-player.jpg!Large.jpg,downloaded
Philip Guston,Metaphysical Art,https://uploads8.wikiart.org/images/philip-guston/if-this-benoti.jpg!Large.jpg,downloaded
Félicien Rops,Symbolism,https://uploads3.wikiart.org/images/felicien-rops/st-therese.jpg,downloaded
Eugene de Blaas,Academic Art,https://uploads6.wikiart.org/images/eugene-de-blaas/at-the-well.jpg,downloaded
Ilja Jefimowitsch Repin,Realism,https://uploads4.wikiart.org/00129/images/ilya-repin/the-reply-of-the-zaporozhian-cossacks-to-sultan-mahmoud-iv-1.jpg!Large.jpg,downloaded
Egon Schiele,Expressionism,https://uploads5.wikiart.org/images/egon-schiele/seated-woman-with-her-left-hand-in-her-hair-1914.jpg!Large.jpg,downloaded
Omar Rayo,Op Art,https://uploads6.wikiart.org/images/omar-rayo/anoz-amazona-1984.jpg,downloaded
Paul Mathiopoulos,Art Nouveau,https://uploads8.wikiart.org/images/paul-mathiopoulos/portrait-of-kiki-papastratou.jpg!Large.jpg,downloaded
Edward Burne-Jones,Romanticism,https://uploads8.wikiart.org/images/edward-burne-jones/the-challenge-in-the-wilderness-1898.jpg!Large.jpg,downloaded
Raphael,Expressionism,https://uploads1.wikiart.org/images/raphael/portrait-of-bindo-altoviti-1515.jpg!Large.jpg,downloaded
Eduardo Arroyo,Pop Art,https://uploads5.wikiart.org/images/eduardo-arroyo/nella-giungla-della-citt-1975.jpg,downloaded
Hilma af Klint,Abstract Art,https://uploads4.wikiart.org/images/hilma-af-klint/the-dove-nr-12-1915.jpg,downloaded
Konstantin Yuon,Post-Impressionism,https://uploads6.wikiart.org/images/konstantin-yuon/the-moskvoretsky-bridge-1911.jpg!Large.jpg,downloaded
Louay Kayyali,Expressionism,https://uploads4.wikiart.org/images/louay-kayyali/the-bread-maker-1974.jpg,downloaded
Paolo Uccello,Early Renaissance,https://uploads1.wikiart.org/images/paolo-uccello/scenes-of-monastic-life-2.jpg!Large.jpg,downloaded
Paul Delaroche,Academic Art,https://uploads4.wikiart.org/images/hippolyte-delaroche/self-portrait.jpg!Large.jpg,downloaded
Diego Velázquez,Baroque,https://uploads3.wikiart.org/images/diego-velazquez/equestrian-portrait-of-don-gaspar-de-guzmancount-duke-of-olivares-1634.jpg!Large.jpg,downloaded
Emil Nolde,Expressionism,https://uploads1.wikiart.org/images/emil-nolde/burial-1915.jpg,downloaded
Charles Blackman,Magic Realism,https://uploads5.wikiart.org/images/charles-blackman/the-red-park-bench.jpg,downloaded
Raphael,Expressionism,https://uploads5.wikiart.org/images/raphael/madonna-of-the-baldacchino.jpg!Large.jpg,downloaded
Georgios Jakobides,Realism,https://uploads3.wikiart.org/images/georgios-jakobides/old-lady-with-scar-on-her-cheek.jpg!Large.jpg,downloaded
Augustus John,Post-Impressionism,https://uploads1.wikiart.org/images/augustus-john/david-and-dorelia-in-normandy-1908.jpg!Large.jpg,downloaded
Alfred Sisley,Impressionism,https://uploads1.wikiart.org/images/alfred-sisley/the-bridge-at-moret-at-sunset-1892.jpg!Large.jpg,downloaded
William James Glackens,Impressionism,https://uploads2.wikiart.org/images/william-james-glackens/standing-girl-with-white-spats-1915.jpg!Large.jpg,downloaded
Mordecai Ardon,Surrealism,https://uploads2.wikiart.org/images/mordecai-ardon/eve-1963.jpg,downloaded
John Singer Sargent,Impressionism,https://uploads5.wikiart.org/images/john-singer-sargent/a-spanish-barracks-1906.jpg!Large.jpg,downloaded
David Burliuk,Cubo-Futurism,https://uploads6.wikiart.org/images/david-burliuk/untitled-view-of-village-from-all-sides.jpg!Large.jpg,downloaded
Tadanori Yokoo,Pop Art,https://uploads1.wikiart.org/images/tadanori-yokoo/3-illustrations-for-killed-by-roses-a-book-of-portraits-of-yukio-mishima-1969-2.jpg,downloaded
Frederick McCubbin,Impressionism,https://uploads1.wikiart.org/images/frederick-mccubbin/violet-and-gold-1911.jpg!Large.jpg,downloaded
Nicholas Roerich,Art Nouveau,https://uploads8.wikiart.org/images/nicholas-roerich/beyond-the-seas-there-are-the-great-lands-daughter-of-viking-1915.jpg!Large.jpg,downloaded
Ernst Ludwig Kirchner,Expressionism,https://uploads0.wikiart.org/images/ernst-ludwig-kirchner/café-chantant-ii.jpg!Large.jpg,downloaded
Jan Steen,Baroque,https://uploads6.wikiart.org/images/jan-steen/mother-and-child.jpg!Large.jpg,downloaded
John Atkinson Grimshaw,Symbolism,https://uploads7.wikiart.org/images/john-atkinson-grimshaw/dido.jpg!Large.jpg,downloaded
Nicholas Roerich,Symbolism,https://uploads8.wikiart.org/images/nicholas-roerich/messenger-island-1914.jpg,downloaded
John Singer Sargent,Impressionism,https://uploads2.wikiart.org/images/john-singer-sargent/santa-maria-della-salute-1913.jpg!Large.jpg,downloaded
Canaletto,Baroque,https://uploads8.wikiart.org/images/canaletto/entrance-to-the-grand-canal-looking-east-1725.jpg!Large.jpg,downloaded
Sabin Balasa,Surrealism,https://uploads2.wikiart.org/images/sabin-b-la-a/eternal-wakefulness.jpg,downloaded
Hiro Yamagata,Pop Art,https://uploads2.wikiart.org/images/hiro-yamagata/centieme-anniversaire-1980.jpg!Large.jpg,downloaded
Alfred Emile Stevens,Romanticism,https://uploads6.wikiart.org/images/alfred-stevens/what-is-called-vagrancy-or-the-hunters-of-vincennes-1854.jpg!Large.jpg,downloaded
Fons Heijnsbroek,Abstract Art,https://uploads6.wikiart.org/images/fons-heijnsbroek/april-2000-3-abstract-painting-on-canvas-2000.jpg!Large.jpg,downloaded
Raphael,Expressionism,https://uploads0.wikiart.org/images/raphael/the-annunciation-1503.jpg!Large.jpg,downloaded
Vincent van Gogh,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/weaver-1884-5.jpg!Large.jpg,downloaded
David Burliuk,Naïve Art,https://uploads1.wikiart.org/images/david-burliuk/saint-anthony-near-the-cave-1949(1).jpg,downloaded
Bram van Velde,Lyrical Abstraction,https://uploads0.wikiart.org/images/bram-van-velde/l-attrait-1978.jpg!Large.jpg,downloaded
Zdzislaw Beksinski,Surrealism,https://uploads0.wikiart.org/images/zdislav-beksinski/untitled-216.jpg,downloaded
Jehan Georges Vibert,Academic Art,https://uploads8.wikiart.org/images/jean-georges-vibert/the-diet.jpg!Large.jpg,downloaded
Franz Xaver Winterhalter,Neo-Rococo,https://uploads5.wikiart.org/images/franz-xaver-winterhalter/barbara-dmitrievna-mergassov-rimsky-korsakova.jpg!Large.jpg,downloaded
Anne Appleby,Color Field,https://uploads0.wikiart.org/images/anne-appleby/summer-aspen-2000.jpg,downloaded
Zdzislaw Beksinski,Surrealism,https://uploads1.wikiart.org/images/zdislav-beksinski/untitled-356.jpg!Large.jpg,downloaded
Amadeo de Souza-Cardoso,Cubism,https://uploads4.wikiart.org/images/amadeo-de-souza-cardoso/zinc-1917.jpg!Large.jpg,downloaded
William Merritt Chase,Impressionism,https://uploads0.wikiart.org/images/william-merritt-chase/girl-with-guitar.jpg!Large.jpg,downloaded
Samuel Buri,Neo-Expressionism,https://uploads8.wikiart.org/images/samuel-buri/mimi-au-chat-1980.jpg,downloaded
Vasily Surikov,Impressionism,https://uploads1.wikiart.org/images/vasily-surikov/venice.jpg!Large.jpg,downloaded
Alfred Parsons,Realism,https://uploads1.wikiart.org/images/alfred-parsons/all-in-the-blue-unclouded-weather.jpg!Large.jpg,downloaded
Al Held,Op Art,https://uploads0.wikiart.org/images/al-held/orion-ii-1989.jpg,downloaded
Jan Steen,Baroque,https://uploads6.wikiart.org/images/jan-steen/portrait-of-geertruy-gael-second-wife-of-gerrit-gerritsz-schouten-1665.jpg!Large.jpg,downloaded
George Romney,Rococo,https://uploads8.wikiart.org/images/george-romney/richard-cumberland-1776.jpg!Large.jpg,downloaded
Oswaldo Guayasamin,Expressionism,https://uploads8.wikiart.org/images/oswaldo-guayasamin/manos-de-un-mendigo.jpg,downloaded
Alfred Manessier,Art Informel,https://uploads8.wikiart.org/images/alfred-manessier/l-emprisonnement-1978.jpg,downloaded
Winston Churchill,Impressionism,https://uploads3.wikiart.org/images/winston-churchill/winter-view-of-chartwell.jpg,downloaded
Franz Xaver Winterhalter,Neoclassicism,https://uploads2.wikiart.org/images/franz-xaver-winterhalter/portrait-of-victoria-of-the-united-kingdom.jpg!Large.jpg,downloaded
Esteban Frances,Surrealism,https://uploads0.wikiart.org/images/esteban-frances/untitled-1939.jpg!Large.jpg,downloaded
Ivan Kramskoy,Realism,https://uploads3.wikiart.org/images/ivan-kramskoy/kramsky-who-writes-a-portrait-of-his-daughter-sofia-ivanovna-archaeology-from-marriage-juncker-1884.jpg!Large.jpg,downloaded
Bernard Schultze,Art Informel,https://uploads3.wikiart.org/images/bernard-schultze/ein-wispern-um-den-gest-rzten-hercules-1990.jpg,downloaded
László Mednyánszky,Impressionism,https://uploads6.wikiart.org/images/laszlo-mednyanszky/ruins-of-a-castle.jpg,downloaded
Dmitry Levitzky,Rococo,https://uploads8.wikiart.org/images/dmitry-levitzky/portrait-of-countess-maria-vorontsova-as-a-child.jpg!Large.jpg,downloaded
Max Bill,Concretism,https://uploads5.wikiart.org/images/max-bill/untitled.jpg,downloaded
William-Adolphe Bouguereau,Neoclassicism,https://uploads4.wikiart.org/images/william-adolphe-bouguereau/marguerite-1868.jpg!Large.jpg,downloaded
Henri de Toulouse-Lautrec,Post-Impressionism,https://uploads8.wikiart.org/images/henri-de-toulouse-lautrec/at-the-rat-mort-1899.jpg!Large.jpg,downloaded
Bui Xuan Phai,Abstract Expressionism,https://uploads4.wikiart.org/images/bui-xuan-phai/abstract(3).jpg,downloaded
Odilon Redon,Realism,https://uploads2.wikiart.org/images/odilon-redon/vase-of-flowers-10.jpg!Large.jpg,downloaded
Charles-François Daubigny,Realism,https://uploads0.wikiart.org/images/charles-francois-daubigny/ferry-at-glouton-1859.jpg!Large.jpg,downloaded
Martiros Sarian,Realism,https://uploads4.wikiart.org/images/martiros-saryan/flowers-of-stepanavan-1950.jpg!Large.jpg,downloaded
Frans Snyders,Baroque,https://uploads8.wikiart.org/images/frans-snyders/cook-in-the-larder-1637.jpg!Large.jpg,downloaded
Roger Raveel,Neo-Expressionism,https://uploads7.wikiart.org/images/roger-raveel/the-window-1962.jpg,downloaded
Aubrey Beardsley,Art Nouveau,https://uploads8.wikiart.org/images/aubrey-beardsley/merlin-taketh-the-child-arthur-into-his-keeping.jpg!Large.jpg,downloaded
Agnolo Bronzino,Mannerism,https://uploads4.wikiart.org/images/agnolo-bronzino/scenes-of-allegories-of-the-cardinal-virtues.jpg!Large.jpg,downloaded
Gustav Klimt,Art Nouveau,https://uploads2.wikiart.org/images/gustav-klimt/flower-garden-1907.jpg!Large.jpg,downloaded
Henri de Toulouse-Lautrec,Impressionism,https://uploads1.wikiart.org/images/henri-de-toulouse-lautrec/prick-and-woodman-1882.jpg!Large.jpg,downloaded
Arthur Rackham,Art Nouveau,https://uploads8.wikiart.org/images/arthur-rackham/title.jpg,downloaded
Richard Whitney,Contemporary Realism,https://uploads7.wikiart.org/images/richard-whitney/marion-sadeghi-nejad.jpg!Large.jpg,downloaded
Fyodor Bronnikov,Academic Art,https://uploads3.wikiart.org/images/fyodor-bronnikov/the-dying-gladiator-1856.jpg!Large.jpg,downloaded
Roberto Aizenberg,Surrealism,https://uploads4.wikiart.org/images/roberto-aizenberg/collage.jpg,downloaded
Vincent van Gogh,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/church-pew-with-worshippers-1882(1).jpg!Large.jpg,downloaded
Bernardo Bellotto,Rococo,https://uploads8.wikiart.org/images/bernardo-bellotto/new-market-square-in-dresden-from-the-jüdenhof.jpg!Large.jpg,downloaded
Thomas Eakins,Realism,https://uploads6.wikiart.org/images/thomas-eakins/general-george-cadwalader-1880.jpg!Large.jpg,downloaded
Morris Louis,Color Field,https://uploads7.wikiart.org/images/morris-louis/delta-zeta-1960.jpg,downloaded
Philip Wilson Steer,Impressionism,https://uploads3.wikiart.org/images/philip-wilson-steer/a-view-of-barnard-castle-yorkshire-from-the-river.jpg,downloaded
Jean-Antoine Watteau,Rococo,https://uploads4.wikiart.org/images/antoine-watteau/ceres-summer-1712.jpg!Large.jpg,downloaded
Piet Mondrian,Neoplasticism,https://uploads8.wikiart.org/images/piet-mondrian/tableau-i-1921.jpg!Large.jpg,downloaded
Dirk Bouts,Northern Renaissance,https://uploads2.wikiart.org/images/dirk-bouts/passion-altarpiece-side-wings.jpg!Large.jpg,downloaded
Pyotr Konchalovsky,Realism,https://uploads2.wikiart.org/images/pyotr-konchalovsky/traction-1927.jpg,downloaded
Giovanni Boldini,Realism,https://uploads1.wikiart.org/images/giovanni-boldini/portrait-of-alice-regnault-1880.jpg!Large.jpg,downloaded
Fairfield Porter,Contemporary Realism,https://uploads6.wikiart.org/images/fairfield-porter/under-the-elms-1972.jpg,downloaded
Vasily Polenov,Realism,https://uploads8.wikiart.org/images/vasily-polenov/portrait-of-a-p-bogolyubov-1890.jpg!Large.jpg,downloaded
Matej Sternen,Impressionism,https://uploads8.wikiart.org/images/matej-sternen/le-e-i-akt-1914.jpg,downloaded
Wyndham Lewis,Cubism,https://uploads1.wikiart.org/images/wyndham-lewis/three-veiled-figures-1933.jpg!Large.jpg,downloaded
François Boucher,Rococo,https://uploads8.wikiart.org/images/francois-boucher/the-beautiful-kitchen.jpg,downloaded
Raphael Kirchner,Art Nouveau,https://uploads8.wikiart.org/images/raphael-kirchner/greek-virgins-1900-3.jpg!Large.jpg,downloaded
Roger Weik,Abstract Expressionism,https://uploads0.wikiart.org/images/roger-weik/number-248-2014(1).jpg!Large.jpg,downloaded
John Constable,Romanticism,https://uploads2.wikiart.org/images/john-constable/the-admiral-s-house-the-grove-1823.jpg!Large.jpg,downloaded
Francisco de Goya,Romanticism,https://uploads3.wikiart.org/images/francisco-goya/the-madhouse-1814.jpg!Large.jpg,downloaded
Ferdinand Georg Waldmüller  ,Romanticism,https://uploads1.wikiart.org/images/ferdinand-georg-waldm-ller/dachstein-from-the-place-of-sophie-1835.jpg!Large.jpg,downloaded
Norman Rockwell,Regionalism,https://uploads2.wikiart.org/images/norman-rockwell/cousin-reginald-plays-pirate-1917.jpg!Large.jpg,downloaded
Ivan Aivazovsky,Romanticism,https://uploads1.wikiart.org/images/ivan-aivazovsky/near-crimean-coast-1890.jpg!Large.jpg,downloaded
Jean-Leon Gerome,Academic Art,https://uploads7.wikiart.org/images/jean-leon-gerome/louis-xiii.jpg!Large.jpg,downloaded
Jean-Leon Gerome,Romanticism,https://uploads7.wikiart.org/images/jean-leon-gerome/lion-snapping-at-a-butterfly.jpg!Large.jpg,downloaded
John William Godward,Neoclassicism,https://uploads3.wikiart.org/images/john-william-godward/the-peacock-fan-1912.jpg!Large.jpg,downloaded
Francisco Pacheco,Mannerism,https://uploads5.wikiart.org/images/francisco-pacheco/baltasar-del-alc-zar-1599.jpg!Large.jpg,downloaded
William Bradford,Romanticism,https://uploads1.wikiart.org/images/william-bradford/shipwreck-off-nantucket-also-known-as-wreck-off-nantucket-after-a-storm-1861.jpg!Large.jpg,downloaded
John Constable,Romanticism,https://uploads1.wikiart.org/images/john-constable/nuvens.jpg!Large.jpg,downloaded
Gheorghe Tattarescu,Romanticism,https://uploads8.wikiart.org/images/gheorghe-tattarescu/munteanca.jpg,downloaded
Paul Cézanne,Cubism,https://uploads5.wikiart.org/images/paul-cezanne/the-old-gardener-1906.jpg!Large.jpg,downloaded
Ivan Kramskoy,Realism,https://uploads3.wikiart.org/images/ivan-kramskoy/portrait-of-feodor-petrushevsky-1882.jpg!Large.jpg,downloaded
Berthe Morisot,Impressionism,https://uploads1.wikiart.org/images/berthe-morisot/young-woman-in-a-rowboat-eventail.jpg!Large.jpg,downloaded
Luigi Russolo,Futurism,https://uploads4.wikiart.org/images/luigi-russolo/music-1912.jpg!Large.jpg,downloaded
Antoine Blanchard,Impressionism,https://uploads7.wikiart.org/images/antoine-blanchard/le-boulevard-paris.jpg!Large.jpg,downloaded
Élisabeth Vigée Le Brun,Rococo,https://uploads8.wikiart.org/images/louise-elisabeth-vigee-le-brun/german-opera-singer-elisabeth-mara.jpg,downloaded
Roger Weik,Abstract Expressionism,https://uploads3.wikiart.org/images/roger-weik/essence-2009.jpg!Large.jpg,downloaded
Jan Matejko,Romanticism,https://uploads1.wikiart.org/images/jan-matejko/jan-kochanowski-over-the-dead-body-of-his-daughter-1862.jpg,downloaded
Lev Lagorio,Romanticism,https://uploads2.wikiart.org/images/lev-lagorio/seascape-with-sailboats-1891.jpg!Large.jpg,downloaded
Francisco de Zurbarán,Baroque,https://uploads7.wikiart.org/images/francisco-zurbaran/flight-into-egypt.jpg!Large.jpg,downloaded
Gerard David,Northern Renaissance,https://uploads0.wikiart.org/images/gerard-david/the-annunciation.jpg!Large.jpg,downloaded
Utagawa Kuniyoshi,Ukiyo-e,https://uploads6.wikiart.org/images/utagawa-kuniyoshi/kôteiken.jpg!Large.jpg,downloaded
Caravaggio,Baroque,https://uploads2.wikiart.org/images/caravaggio/david-and-goliath(1).jpg!Large.jpg,downloaded
Joshua Reynolds,Rococo,https://uploads4.wikiart.org/images/joshua-reynolds/portrait-of-joseph-baretti.jpg!Large.jpg,downloaded
Théodore Géricault,Realism,https://uploads1.wikiart.org/images/theodore-gericault/the-murderers-carry-the-body-of-fualdes.jpg,downloaded
António Carneiro,Expressionism,https://uploads1.wikiart.org/images/antonio-carneiro/rua-bret-1899.jpg!Large.jpg,downloaded
Roger Weik,Abstract Expressionism,https://uploads0.wikiart.org/images/roger-weik/glass-burning-2016.jpg!Large.jpg,downloaded
Joan Mitchell,Abstract Expressionism,https://uploads7.wikiart.org/images/joan-mitchell/untitled-1964.jpg!Large.jpg,downloaded
Mikhail Vrubel,Symbolism,https://uploads2.wikiart.org/images/mikhail-vrubel/flowers.jpg!Large.jpg,downloaded
Edward R. Taylor,Romanticism,https://uploads7.wikiart.org/images/edward-r-taylor/lincoln-cathedral-evening-1911.jpg,downloaded
